# Argument List:
# Name = hot30
# peak file = hot30.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr15	72491369	72523684	PKM2	0	-	32|32|32	67|67|67
chr15	75648134	75660941	MAN2C1	0	-	31	-183
chr15	85525204	85682370	PDE8A	0	+	35|35	754|754
chr16	3070312	3072381	TNFRSF12A	0	+	32	-1123
chr16	87985037	88110923	BANP	0	+	30|30|30|30|30	220|220|220|220|220
chr17	1619816	1641893	WDR81	0	+	36|36	-507|-507
chr17	1614798	1619566	C17orf91	0	-	36|36|36|36	757|757|757|757
chr17	19641299	19651746	ALDH3A1	0	-	37	66
chr17	62181	202633	RPH3AL	0	-	35|35|35|35	-152|-152|-152|-152
chr17	36909001	36920477	PSMB3	0	+	38	421
chr17	37026111	37078022	LASP1	0	+	34	147
chr17	38137059	38154212	PSMD3	0	+	31	252
chr17	39845126	39847897	EIF1	0	+	37	-195
chr17	43224683	43229467	HEXIM1	0	+	56	-855
chr17	44107282	44270166	KIAA1267	0	-	48|48	548|442
chr17	44270938	44274080	LOC644246	0	+	48	224
chr17	45727274	45761004	KPNB1	0	+	31	366
chr17	46125685	46138906	NFE2L1	0	+	42	-63
chr17	47074773	47133505	IGF2BP1	0	+	37|37	529|529
chr17	4848948	4851825	PFN1	0	-	41	558
chr17	57697049	57774317	CLTC	0	+	30	8
chr17	57918626	57918697	MIR21	0	+	55	1652
chr17	62494373	62502484	DDX5	0	-	34	569
chr17	62503157	62534060	CCDC45	0	+	34	104
chr17	7387697	7417935	POLR2A	0	+	37	134
chr17	7362685	7387568	ZBTB4	0	-	37	-5
chr17	73870246	73874656	TRIM47	0	-	38	-1006
chr17	7760004	7761172	LSMD1	0	-	34	34
chr17	7761063	7765598	CYB5D1	0	+	34	-143
chr17	79476998	79479827	ACTG1	0	-	30	-767
chr17	79825597	79828790	ARHGDIA	0	-	32|32|32	-371|-863|-863
chr17	7999218	8022234	ALOXE3	0	-	49|49	855|1229
chr17	8123948	8127361	C17orf44	0	-	31	-1096
chr19	35168566	35177302	ZNF302	0	+	31|31	112|112
chr19	36208920	36229778	MLL4	0	+	40	658
chr19	36545782	36596012	WDR62	0	+	31|31	143|143
chr19	36525886	36545664	THAP8	0	-	31	-25
chr19	36605887	36616849	TBCB	0	+	30	-407
chr19	36604611	36606206	POLR2I	0	-	30	88
chr19	36673187	36705986	ZNF565	0	-	31|31	-232|188
chr19	36705503	36729673	ZNF146	0	+	31|31|31	-251|-251|-251
chr19	38865189	38874463	PSMD8	0	+	32	-203
chr19	39327028	39342979	HNRNPL	0	-	66|66	-1577|785
chr19	39405903	39421536	SARS2	0	-	30|30	-68|-68
chr19	39421593	39423657	MRPS12	0	+	30|30|30	125|-121|125
chr19	39432041	39466380	FBXO17	0	-	35	251
chr19	39903749	39919054	PLEKHG2	0	+	31	658
chr19	40946748	40948505	SERTAD3	0	-	31|31	1322|-455
chr19	41197433	41222790	ADCK4	0	-	61	235
chr19	41223007	41246763	ITPKC	0	+	61	-18
chr19	41256758	41271296	SNRPA	0	+	36	-226
chr19	41246760	41255828	C19orf54	0	-	36	1156
chr19	41770119	41813810	HNRNPUL1	0	+	32|32	333|-1396
chr19	41836812	41859831	TGFB1	0	-	30	-462
chr19	42363987	42375482	RPS19	0	+	32	73
chr19	42460833	42463528	RABAC1	0	-	34	-552
chr19	42734337	42746736	GSK3A	0	-	33	348
chr19	45349392	45392485	PVRL2	0	+	30|30	559|559
chr19	45458637	45496598	CLPTM1	0	+	32	310
chr19	45882892	45909607	PPP1R13L	0	-	39|39	-421|874
chr19	45909466	45914024	CD3EAP	0	+	39	280
chr19	45910590	45927177	ERCC1	0	-	32|32|32	135|135|492
chr19	47278141	47290545	SLC1A5	0	-	38|38	118|-1179
chr19	47730198	47730278	MIR3190	0	+	39	-600
chr19	47730200	47730276	MIR3191	0	-	39	522
chr19	50180495	50191704	PRMT1	0	+	31|31|31	43|43|43
chr19	50372298	50380644	AKT1S1	0	-	47|47|47	14|46|80
chr19	50380681	50392006	TBC1D17	0	+	47|47	23|23
chr19	56088891	56092211	ZNF579	0	-	36	764
chr2	24300304	24307728	TP53I3	0	-	34|34	-656|-583
chr2	27274490	27282401	AGBL5	0	+	43|43	463|463
chr2	47387220	47403740	CALM2	0	-	32	-204
chr2	55199328	55277734	RTN4	0	-	51|51|51|51	-602|-602|-602|806
chr2	55459038	55462987	RPS27A	0	+	30|30|30	-606|169|-104
chr2	55399686	55459699	C2orf63	0	-	30|30	-55|195
chr2	61244811	61279124	PEX13	0	+	33	237
chr2	61167549	61245365	PUS10	0	-	33	-791
chr2	70314584	70316332	PCBP1	0	+	35	527
chr2	70189395	70314147	LOC400960	0	-	35	-90
chr20	10415950	10604025	C20orf94	0	+	41	873
chr20	10385832	10414866	MKKS	0	-	41	211
chr20	17922245	17949154	SNX5	0	-	30|30	766|430
chr20	17949761	17971759	C20orf72	0	+	30	-159
chr20	30193091	30194313	ID1	0	+	31|31	61|61
chr20	30194988	30195042	MIR3193	0	+	31	1958
chr20	34291531	34330193	RBM39	0	-	31|31	-120|-120
chr3	5021096	5026863	BHLHE40	0	+	38	-61
chr5	172195094	172198203	DUSP1	0	-	30	-1160
chr5	180650305	180662808	TRIM41	0	+	30|30	1064|1064
chr6	35541361	35696360	FKBP5	0	-	37	-1530
chr7	100026412	100031749	MEPCE	0	+	31|31|31|31	-413|-413|-413|428
chr7	99998495	100026302	ZCWPW1	0	-	31	523
chr7	100770378	100782546	SERPINE1	0	+	31|31	162|162
chr7	12726451	12730556	ARL4A	0	+	30|30|30|30	-275|184|184|-275
chr7	134212343	134226165	AKR1B10	0	+	33	-1638
chr7	139025896	139030539	C7orf55	0	+	33	180
chr8	126442562	126450642	TRIB1	0	+	35	-421
chr9	74966340	74980163	ZFAND5	0	-	30|30|30	-22|-22|-22
chr9	95087740	95377435	CENPP	0	+	30	-141
chr9	95059640	95087876	NOL8	0	-	30|30	5|5
