 
# GREAT version 2.0.2	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0005515	protein binding	11	6.701499e-5	2.279180e-1	2.071982e-2	1.243019e+0	1.134335e+2	141	5.453535e-1	6.778846e-1	3	1.450612e-4	4.933531e-1	1.644510e-1	1.274228e+0	1.137944e+2	145	6642	4.769737e-1	2.183077e-2	30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,36,36,36,36,36,36,37,37,37,37,37,37,38,38,38,38,38,38,38,38,39,39,40,40,40,40,40,41,41,41,41,41,42,42,42,43,43,44,46,47,48,48,49,51,51,55,56,56,57,61,66	ABI3,ACTG1,ACTN4,AGBL5,AKAP13,AKR1B10,AKT1S1,ALDH1A3,ANXA2,ARL4A,ATXN10,AURKB,BBC3,BCAR1,BHLHE40,BMP7,C20orf29,C20orf94,CALM2,CAPG,CCL20,CCND1,CCR7,CDC25B,CKS1B,CLCF1,CLDN6,CLTC,CREG1,CRHR1,CSNK1D,CTC1,DDIT4,DDX5,DUSP1,E2F2,ENO3,ERCC1,ERGIC1,FBXO27,FEM1B,FKBP5,FOXB1,FTL,GABPB1,GAPDH,GLI2,GSK3A,GTF2A1,GTF2H1,GYS1,HES7,HEXIM1,HIST4H4,HNRNPL,HNRNPUL1,ID1,ID3,IGF1R,IGF2BP1,IGFBP4,ITGB1,ITGB5,ITPKC,KCNH1,KIAA1267,KLF10,KPNB1,KRT15,KRT81,LASP1,LASP1,LIPC,LITAF,LUC7L2,LUC7L3,MKKS,MLL4,MPZL1,MRPL48,MRPS12,MYC,NEBL,NFE2L1,NFKBIA,NOL8,NRP1,NTN4,PBK,PCBP1,PCBP2,PCGF2,PEX13,PFN1,PHLDA1,PKM2,PLEKHA1,PLEKHG6,POLR2A,PPP1R13L,PRMT1,PTPN6,PVRL2,PYGB,RABAC1,RBM39,RPH3AL,RPS19,RTN4,S100A11,SAE1,SARS2,SERPINE1,SERPINF2,SERTAD3,SHC1,SMAD3,SMAD6,SMG7,SNRPA,SPHKAP,STRN4,STX1A,SYK,TACC2,TBCB,TFAP2C,TGFB1,TIMM9,TLE3,TMPO,TNFRSF1A,TNS4,TOB1,TP53I3,TRIB1,TRIM41,UBC,ULK2,UQCRHL,USP3,WBP2,WNK1,WNT8B,ZNF384
GO Molecular Function	GO:0004028	3-chloroallyl aldehyde dehydrogenase activity	12	1.167107e-4	3.969331e-1	3.307776e-2	3.287452e+1	9.125608e-2	3	4.387311e-4	1.442308e-2	11	4.193192e-3	1.000000e+0	1.000000e+0	1.945614e+1	1.027953e-1	2	6	6.578947e-3	3.333333e-1	31,34,37	ALDH3A1,ALDH3B1
GO Molecular Function	GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	13	4.349081e-4	1.000000e+0	1.137786e-1	6.309885e+0	9.508890e-1	6	4.571582e-3	2.884615e-2	10	3.574093e-3	1.000000e+0	1.000000e+0	6.310100e+0	6.339044e-1	4	37	1.315789e-2	1.081081e-1	30,31,33,34,37,48	ALDH1A3,ALDH3A1,ALDH3B1,GAPDH
GO Molecular Function	GO:0002020	protease binding	14	7.608306e-4	1.000000e+0	1.848275e-1	7.137239e+0	7.005510e-1	5	3.368034e-3	2.403846e-2	15	7.831998e-3	1.000000e+0	1.000000e+0	5.075515e+0	7.880974e-1	4	46	1.315789e-2	8.695652e-2	30,30,31,32,36	ITGB1,SERPINE1,SERPINF2,TNFRSF1A
GO Molecular Function	GO:0005520	insulin-like growth factor binding	15	9.316029e-4	1.000000e+0	2.112254e-1	6.818032e+0	7.333494e-1	5	3.525718e-3	2.403846e-2	121	7.263004e-2	1.000000e+0	1.000000e+0	4.489879e+0	4.454463e-1	2	26	6.578947e-3	7.692308e-2	31,36,38,44,49	IGF1R,IGFBP4
GO Molecular Function	GO:0043008	ATP-dependent protein binding	16	1.360567e-3	1.000000e+0	2.892055e-1	3.758331e+1	5.321511e-2	2	2.558419e-4	9.615385e-3	7	2.827412e-3	1.000000e+0	1.000000e+0	2.334737e+1	8.566276e-2	2	5	6.578947e-3	4.000000e-1	30,39	SAE1,STX1A
GO Molecular Function	GO:0004029	aldehyde dehydrogenase (NAD) activity	17	1.808424e-3	1.000000e+0	3.617912e-1	1.272892e+1	2.356838e-1	3	1.133095e-3	1.442308e-2	16	9.727275e-3	1.000000e+0	1.000000e+0	1.297076e+1	1.541930e-1	2	9	6.578947e-3	2.222222e-1	30,34,37	ALDH1A3,ALDH3A1
GO Molecular Function	GO:0004983	neuropeptide Y receptor activity	18	2.142114e-3	1.000000e+0	4.047405e-1	1.198769e+1	2.502566e-1	3	1.203157e-3	1.442308e-2	208	1.587399e-1	1.000000e+0	1.000000e+0	5.836842e+0	1.713255e-1	1	10	3.289474e-3	1.000000e-1	33,37,51	PPYR1
GO Molecular Function	GO:0016538	cyclin-dependent protein kinase regulator activity	19	3.213489e-3	1.000000e+0	5.752145e-1	1.037310e+1	2.892097e-1	3	1.390431e-3	1.442308e-2	8	3.357308e-3	1.000000e+0	1.000000e+0	9.728070e+0	3.083859e-1	3	18	9.868421e-3	1.666667e-1	32,41,56	CCND1,CKS1B,HEXIM1
GO Molecular Function	GO:0032028	myosin head/neck binding	20	3.585276e-3	1.000000e+0	6.096762e-1	2.784207e+2	3.591687e-3	1	1.726773e-5	4.807692e-3	27	1.713255e-2	1.000000e+0	1.000000e+0	5.836842e+1	1.713255e-2	1	1	3.289474e-3	1.000000e+0	30	STX1A
GO Molecular Function	GO:0003697	single-stranded DNA binding	21	3.791860e-3	1.000000e+0	6.141008e-1	4.922064e+0	1.015834e+0	5	4.883817e-3	2.403846e-2	42	2.166435e-2	1.000000e+0	1.000000e+0	3.765705e+0	1.062218e+0	4	62	1.315789e-2	6.451613e-2	31,32,35,36,38	CTC1,ERCC1,HNRNPA1,PCBP1
GO Molecular Function	GO:0016150	translation release factor activity, codon nonspecific	22	4.668948e-3	1.000000e+0	7.217769e-1	2.136830e+2	4.679829e-3	1	2.249918e-5	4.807692e-3	27	1.713255e-2	1.000000e+0	1.000000e+0	5.836842e+1	1.713255e-2	1	1	3.289474e-3	1.000000e+0	49	ICT1
GO Molecular Function	GO:0003968	RNA-directed RNA polymerase activity	23	4.690582e-3	1.000000e+0	6.935943e-1	2.126952e+2	4.701564e-3	1	2.260367e-5	4.807692e-3	27	1.713255e-2	1.000000e+0	1.000000e+0	5.836842e+1	1.713255e-2	1	1	3.289474e-3	1.000000e+0	37	POLR2A
GO Molecular Function	GO:0008106	alcohol dehydrogenase (NADP+) activity	24	4.812289e-3	1.000000e+0	6.819415e-1	1.966856e+1	1.016851e-1	2	4.888708e-4	9.615385e-3	184	1.291414e-1	1.000000e+0	1.000000e+0	7.296053e+0	1.370604e-1	1	8	3.289474e-3	1.250000e-1	34,37	ALDH3A1
GO Molecular Function	GO:0016493	C-C chemokine receptor activity	25	5.401802e-3	1.000000e+0	7.348611e-1	1.852626e+1	1.079549e-1	2	5.190139e-4	9.615385e-3	238	1.873356e-1	1.000000e+0	1.000000e+0	4.864035e+0	2.055906e-1	1	12	3.289474e-3	8.333333e-2	31,51	CCR7
GO Molecular Function	GO:0004300	enoyl-CoA hydratase activity	26	5.669399e-3	1.000000e+0	7.416010e-1	1.806754e+1	1.106958e-1	2	5.321913e-4	9.615385e-3	11	4.193192e-3	1.000000e+0	1.000000e+0	1.945614e+1	1.027953e-1	2	6	6.578947e-3	3.333333e-1	30,66	AUH,HNRNPL
GO Molecular Function	GO:0005198	structural molecule activity	27	6.126008e-3	1.000000e+0	7.716501e-1	1.892240e+0	1.004101e+1	19	4.827407e-2	9.134615e-2	76	4.470123e-2	1.000000e+0	1.000000e+0	1.572525e+0	1.081064e+1	17	631	5.592105e-2	2.694136e-2	30,30,30,30,30,30,30,31,32,32,32,32,34,35,35,36,45,55,55	ACTG1,AK300121,CLDN6,CLTC,FBLN1,KRT15,KRT81,KRT9,MPZL1,MRPL48,MRPS12,NEBL,RPL26L1,RPS19,RPS27A,TMEM235,TUBD1
GO Molecular Function	GO:0019957	C-C chemokine binding	28	6.215070e-3	1.000000e+0	7.549090e-1	1.722566e+1	1.161059e-1	2	5.582014e-4	9.615385e-3	251	2.012680e-1	1.000000e+0	1.000000e+0	4.489879e+0	2.227232e-1	1	13	3.289474e-3	7.692308e-2	31,51	CCR7
GO Molecular Function	GO:0004743	pyruvate kinase activity	29	6.988639e-3	1.000000e+0	8.195987e-1	1.425912e+2	7.013055e-3	1	3.371661e-5	4.807692e-3	82	5.052491e-2	1.000000e+0	1.000000e+0	1.945614e+1	5.139766e-2	1	3	3.289474e-3	3.333333e-1	32	PKM2
GO Molecular Function	GO:0008330	protein tyrosine/threonine phosphatase activity	30	8.523072e-3	1.000000e+0	9.662323e-1	1.461001e+1	1.368924e-1	2	6.581367e-4	9.615385e-3	127	8.278639e-2	1.000000e+0	1.000000e+0	1.167368e+1	8.566276e-2	1	5	3.289474e-3	2.000000e-1	30,32	DUSP1
GO Molecular Function	GO:0005094	Rho GDP-dissociation inhibitor activity	31	8.801924e-3	1.000000e+0	9.656562e-1	1.131132e+2	8.840702e-3	1	4.250338e-5	4.807692e-3	108	6.679459e-2	1.000000e+0	1.000000e+0	1.459211e+1	6.853021e-2	1	4	3.289474e-3	2.500000e-1	32	ARHGDIA
GO Molecular Function	GO:0004726	non-membrane spanning protein tyrosine phosphatase activity	32	9.256411e-3	1.000000e+0	9.837829e-1	1.399167e+1	1.429422e-1	2	6.872220e-4	9.615385e-3	184	1.291414e-1	1.000000e+0	1.000000e+0	7.296053e+0	1.370604e-1	1	8	3.289474e-3	1.250000e-1	30,32	DUSP1
GO Molecular Function	GO:0008139	nuclear localization sequence binding	33	1.034381e-2	1.000000e+0	1.000000e+0	1.319878e+1	1.515291e-1	2	7.285053e-4	9.615385e-3	16	9.727275e-3	1.000000e+0	1.000000e+0	1.297076e+1	1.541930e-1	2	9	6.578947e-3	2.222222e-1	30,31	KPNB1,NFKBIA
GO Molecular Function	GO:0003899	DNA-directed RNA polymerase activity	34	1.069260e-2	1.000000e+0	1.000000e+0	6.684908e+0	4.487721e-1	3	2.157558e-3	1.442308e-2	75	4.402063e-2	1.000000e+0	1.000000e+0	3.806636e+0	7.880974e-1	3	46	9.868421e-3	6.521739e-2	30,37,39	CD3EAP,POLR2A,POLR2I
GO Molecular Function	GO:0046703	natural killer cell lectin-like receptor binding	35	1.154126e-2	1.000000e+0	1.000000e+0	8.614710e+1	1.160805e-2	1	5.580794e-5	4.807692e-3	56	3.397253e-2	1.000000e+0	1.000000e+0	2.918421e+1	3.426510e-2	1	2	3.289474e-3	5.000000e-1	30	PTPN6
GO Molecular Function	GO:0004373	glycogen (starch) synthase activity	36	1.167728e-2	1.000000e+0	1.000000e+0	8.513784e+1	1.174566e-2	1	5.646951e-5	4.807692e-3	56	3.397253e-2	1.000000e+0	1.000000e+0	2.918421e+1	3.426510e-2	1	2	3.289474e-3	5.000000e-1	33	GYS1
GO Molecular Function	GO:0047017	prostaglandin-F synthase activity	37	1.217958e-2	1.000000e+0	1.000000e+0	8.160600e+1	1.225400e-2	1	5.891347e-5	4.807692e-3	27	1.713255e-2	1.000000e+0	1.000000e+0	5.836842e+1	1.713255e-2	1	1	3.289474e-3	1.000000e+0	33	AKR1C3
GO Molecular Function	GO:0004860	protein kinase inhibitor activity	38	1.284816e-2	1.000000e+0	1.000000e+0	4.484301e+0	8.920007e-1	4	4.288465e-3	1.923077e-2	13	5.195184e-3	1.000000e+0	1.000000e+0	5.694480e+0	7.024346e-1	4	41	1.315789e-2	9.756098e-2	30,35,45,56	HEXIM1,SOCS3,TRIB1,WNK1
GO Molecular Function	GO:0019948	SUMO activating enzyme activity	39	1.332927e-2	1.000000e+0	1.000000e+0	7.452414e+1	1.341847e-2	1	6.451187e-5	4.807692e-3	56	3.397253e-2	1.000000e+0	1.000000e+0	2.918421e+1	3.426510e-2	1	2	3.289474e-3	5.000000e-1	39	SAE1
GO Molecular Function	GO:0042277	peptide binding	40	1.337513e-2	1.000000e+0	1.000000e+0	2.180973e+0	5.043622e+0	11	2.424818e-2	5.288462e-2	162	1.138494e-1	1.000000e+0	1.000000e+0	1.723962e+0	4.060415e+0	7	237	2.302632e-2	2.953586e-2	30,30,31,31,33,36,37,38,44,51,51	CCR7,CRHR1,IGF1R,ITGB1,KPNB1,NFKBIA,PPYR1
GO Molecular Function	GO:0003723	RNA binding	41	1.365774e-2	1.000000e+0	1.000000e+0	1.620551e+0	1.480978e+1	24	7.120086e-2	1.153846e-1	44	2.403840e-2	1.000000e+0	1.000000e+0	1.557394e+0	1.476826e+1	23	862	7.565789e-2	2.668213e-2	30,30,30,30,30,31,32,32,32,33,33,34,34,34,35,35,36,37,37,38,40,49,56,66	AUH,DDX5,EIF1,EIF1AD,EIF4B,HEXIM1,HNRNPA1,HNRNPL,HNRNPUL1,ICT1,IGF2BP1,KRR1,LUC7L3,NOL8,PCBP1,PCBP2,PUS10,RBM39,RPS19,SF3B14,SNRPA,SNRPF,THOC6
GO Molecular Function	GO:0008514	organic anion transmembrane transporter activity	42	1.374471e-2	1.000000e+0	1.000000e+0	1.135883e+1	1.760745e-1	2	8.465122e-4	9.615385e-3	251	2.012680e-1	1.000000e+0	1.000000e+0	4.489879e+0	2.227232e-1	1	13	3.289474e-3	7.692308e-2	35,40	ABCC3
GO Molecular Function	GO:0019210	kinase inhibitor activity	43	1.483365e-2	1.000000e+0	1.000000e+0	4.293523e+0	9.316359e-1	4	4.479019e-3	1.923077e-2	14	6.164370e-3	1.000000e+0	1.000000e+0	5.429621e+0	7.366997e-1	4	43	1.315789e-2	9.302326e-2	30,35,45,56	HEXIM1,SOCS3,TRIB1,WNK1
GO Molecular Function	GO:0003735	structural constituent of ribosome	44	1.517779e-2	1.000000e+0	1.000000e+0	3.038069e+0	1.974938e+0	6	9.494896e-3	2.884615e-2	207	1.513456e-1	1.000000e+0	1.000000e+0	1.779525e+0	2.809739e+0	5	164	1.644737e-2	3.048780e-2	30,30,30,30,32,35	MRPL48,MRPS12,RPL26L1,RPS19,RPS27A
GO Molecular Function	GO:0050661	NADP binding	45	1.570389e-2	1.000000e+0	1.000000e+0	4.219644e+0	9.479474e-1	4	4.557439e-3	1.923077e-2	73	4.166050e-2	1.000000e+0	1.000000e+0	3.891228e+0	7.709648e-1	3	45	9.868421e-3	6.666667e-2	33,34,34,48	GAPDH,TP53I3,TXNRD1
GO Molecular Function	GO:0070287	ferritin receptor activity	46	1.729851e-2	1.000000e+0	1.000000e+0	5.730938e+1	1.744915e-2	1	8.389015e-5	4.807692e-3	27	1.713255e-2	1.000000e+0	1.000000e+0	5.836842e+1	1.713255e-2	1	1	3.289474e-3	1.000000e+0	30	SCARA5
GO Molecular Function	GO:0046592	polyamine oxidase activity	47	1.746167e-2	1.000000e+0	1.000000e+0	5.676921e+1	1.761518e-2	1	8.468837e-5	4.807692e-3	56	3.397253e-2	1.000000e+0	1.000000e+0	2.918421e+1	3.426510e-2	1	2	3.289474e-3	5.000000e-1	30	SMOX
GO Molecular Function	GO:0004828	serine-tRNA ligase activity	48	1.759167e-2	1.000000e+0	1.000000e+0	5.634602e+1	1.774748e-2	1	8.532443e-5	4.807692e-3	82	5.052491e-2	1.000000e+0	1.000000e+0	1.945614e+1	5.139766e-2	1	3	3.289474e-3	3.333333e-1	30	SARS2
GO Molecular Function	GO:0047743	chlordecone reductase activity	49	1.903794e-2	1.000000e+0	1.000000e+0	5.202750e+1	1.922061e-2	1	9.240676e-5	4.807692e-3	27	1.713255e-2	1.000000e+0	1.000000e+0	5.836842e+1	1.713255e-2	1	1	3.289474e-3	1.000000e+0	33	AKR1C4
GO Molecular Function	GO:0031994	insulin-like growth factor I binding	50	2.089178e-2	1.000000e+0	1.000000e+0	9.082086e+0	2.202137e-1	2	1.058720e-3	9.615385e-3	163	1.139552e-1	1.000000e+0	1.000000e+0	8.338346e+0	1.199279e-1	1	7	3.289474e-3	1.428571e-1	38,44	IGF1R
GO Molecular Function	GO:0016647	oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor	51	2.199033e-2	1.000000e+0	1.000000e+0	4.497509e+1	2.223453e-2	1	1.068968e-4	4.807692e-3	82	5.052491e-2	1.000000e+0	1.000000e+0	1.945614e+1	5.139766e-2	1	3	3.289474e-3	3.333333e-1	30	SMOX
GO Molecular Function	GO:0008142	oxysterol binding	52	2.210543e-2	1.000000e+0	1.000000e+0	4.473829e+1	2.235222e-2	1	1.074626e-4	4.807692e-3	56	3.397253e-2	1.000000e+0	1.000000e+0	2.918421e+1	3.426510e-2	1	2	3.289474e-3	5.000000e-1	36	OSBP
GO Molecular Function	GO:0033842	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity	53	2.323013e-2	1.000000e+0	1.000000e+0	4.254798e+1	2.350288e-2	1	1.129946e-4	4.807692e-3	56	3.397253e-2	1.000000e+0	1.000000e+0	2.918421e+1	3.426510e-2	1	2	3.289474e-3	5.000000e-1	31	B4GALNT3
GO Molecular Function	GO:0048154	S100 beta binding	54	2.448866e-2	1.000000e+0	1.000000e+0	4.033557e+1	2.479201e-2	1	1.191924e-4	4.807692e-3	108	6.679459e-2	1.000000e+0	1.000000e+0	1.459211e+1	6.853021e-2	1	4	3.289474e-3	2.500000e-1	30	S100A11
GO Molecular Function	GO:0004478	methionine adenosyltransferase activity	55	2.464297e-2	1.000000e+0	1.000000e+0	4.007985e+1	2.495019e-2	1	1.199529e-4	4.807692e-3	56	3.397253e-2	1.000000e+0	1.000000e+0	2.918421e+1	3.426510e-2	1	2	3.289474e-3	5.000000e-1	33	MAT2A
GO Molecular Function	GO:0043404	corticotropin-releasing hormone receptor activity	56	2.470551e-2	1.000000e+0	1.000000e+0	3.997712e+1	2.501431e-2	1	1.202611e-4	4.807692e-3	27	1.713255e-2	1.000000e+0	1.000000e+0	5.836842e+1	1.713255e-2	1	1	3.289474e-3	1.000000e+0	36	CRHR1
GO Molecular Function	GO:0047026	androsterone dehydrogenase (A-specific) activity	57	2.614292e-2	1.000000e+0	1.000000e+0	3.775147e+1	2.648903e-2	1	1.273511e-4	4.807692e-3	56	3.397253e-2	1.000000e+0	1.000000e+0	2.918421e+1	3.426510e-2	1	2	3.289474e-3	5.000000e-1	33	AKR1C3
GO Molecular Function	GO:0047718	indanol dehydrogenase activity	57	2.614292e-2	1.000000e+0	1.000000e+0	3.775147e+1	2.648903e-2	1	1.273511e-4	4.807692e-3	56	3.397253e-2	1.000000e+0	1.000000e+0	2.918421e+1	3.426510e-2	1	2	3.289474e-3	5.000000e-1	33	AKR1C3
GO Molecular Function	GO:0005010	insulin-like growth factor-activated receptor activity	59	2.763436e-2	1.000000e+0	1.000000e+0	7.805167e+0	2.562405e-1	2	1.231925e-3	9.615385e-3	108	6.679459e-2	1.000000e+0	1.000000e+0	1.459211e+1	6.853021e-2	1	4	3.289474e-3	2.500000e-1	38,44	IGF1R
GO Molecular Function	GO:0004045	aminoacyl-tRNA hydrolase activity	60	2.777608e-2	1.000000e+0	1.000000e+0	3.550226e+1	2.816722e-2	1	1.354193e-4	4.807692e-3	108	6.679459e-2	1.000000e+0	1.000000e+0	1.459211e+1	6.853021e-2	1	4	3.289474e-3	2.500000e-1	49	ICT1
